S.N,Player,Nation,Pos,Squad,Age,90s,Tackles + Interceptions
1,Ki-Jana Hoever,Netherlands,DF,Stoke City,21,34.1,4.750733138
2,Trai Hume,Northern Ireland,DF,Sunderland,21,45.2,4.778761062
3,Ethan Laird,England,DF,Birmingham City,22,22.2,4.864864865
4,Illia Zabarnyi,Ukraine,DF,AFC Bournemouth,20,37,2.486486486
5,Marcos Senesi,Argentina,DF,AFC Bournemouth,26,24.9,3.614457831
